WARDNAME,Geo_Code,Mid_Year_Ending,Gender,Age_Group,Population_Estimate
ALDERGROVE,95AA01,2020,All persons,All ages,4775
BALLOO,95AA02,2020,All persons,All ages,1759
BALLYCRAIGY,95AA03,2020,All persons,All ages,1845
CLADY,95AA04,2020,All persons,All ages,3373
CRANFIELD,95AA05,2020,All persons,All ages,2728
CRUMLIN,95AA06,2020,All persons,All ages,4468
DRUMANAWAY,95AA07,2020,All persons,All ages,2155
FARRANSHANE,95AA08,2020,All persons,All ages,1811
FOUNTAIN HILL,95AA09,2020,All persons,All ages,2353
GREYSTONE,95AA10,2020,All persons,All ages,1870
MASSEREENE,95AA11,2020,All persons,All ages,5775
PARKGATE,95AA12,2020,All persons,All ages,2758
RANDALSTOWN,95AA13,2020,All persons,All ages,3445
SHILVODAN,95AA14,2020,All persons,All ages,2485
SPRINGFARM,95AA15,2020,All persons,All ages,4967
STEEPLE,95AA16,2020,All persons,All ages,1822
STILES,95AA17,2020,All persons,All ages,2019
TEMPLEPATRICK,95AA18,2020,All persons,All ages,2612
TOOME,95AA19,2020,All persons,All ages,2757
BALLYGOWAN,95BB01,2020,All persons,All ages,3795
BALLYRAINEY,95BB02,2020,All persons,All ages,2578
BALLYWALTER,95BB03,2020,All persons,All ages,4417
BRADSHAW'S BRAE,95BB04,2020,All persons,All ages,3341
CARROWDORE,95BB05,2020,All persons,All ages,3469
CENTRAL,95BB06,2020,All persons,All ages,2941
COMBER EAST,95BB07,2020,All persons,All ages,3172
COMBER NORTH,95BB08,2020,All persons,All ages,2618
COMBER WEST,95BB09,2020,All persons,All ages,3086
DONAGHADEE NORTH,95BB10,2020,All persons,All ages,3597
DONAGHADEE SOUTH,95BB11,2020,All persons,All ages,2965
GLEN,95BB12,2020,All persons,All ages,3117
GREGSTOWN,95BB13,2020,All persons,All ages,4148
KILLINCHY,95BB14,2020,All persons,All ages,3177
KIRCUBBIN,95BB15,2020,All persons,All ages,3526
LISBANE,95BB16,2020,All persons,All ages,3439
LOUGHRIES,95BB17,2020,All persons,All ages,3673
MILLISLE,95BB18,2020,All persons,All ages,4508
MOVILLA,95BB19,2020,All persons,All ages,5169
PORTAFERRY,95BB20,2020,All persons,All ages,3289
PORTAVOGIE,95BB21,2020,All persons,All ages,4915
SCRABO,95BB22,2020,All persons,All ages,3156
WHITESPOTS,95BB23,2020,All persons,All ages,3084
ABBEY PARK,95CC01,2020,All persons,All ages,2657
BALLYMARTRIM,95CC02,2020,All persons,All ages,2973
CALLAN BRIDGE,95CC03,2020,All persons,All ages,2998
CARRIGATUKE,95CC04,2020,All persons,All ages,2776
CHARLEMONT,95CC05,2020,All persons,All ages,2971
DEMESNE,95CC06,2020,All persons,All ages,3145
DERRYNOOSE,95CC07,2020,All persons,All ages,3820
DOWNS,95CC08,2020,All persons,All ages,2681
HAMILTONSBAWN,95CC09,2020,All persons,All ages,3682
HOCKLEY,95CC10,2020,All persons,All ages,2739
