WARDNAME,Average of Number Of Crimes,Sum of Area Sq km
CITY WALLS,3627,1.099931657
SHANKILL,3612,1.826206169
WATER WORKS,2720,1.361575692
NEW LODGE,2332,0.716162398
NORTHLAND,2129,1.292328234
BLOOMFIELD,1837,0.815785567
ABBEY,1572,0.910177771
FALLS PARK,1227,2.210295238
VICTORIA,1155,5.295483731
BANBRIDGE SOUTH,1145,2.365544245
ARDOYNE,1108,0.536360309
GLEBE,1081,0.79049649
THE MALL,1051,5.562599301
BALLYSAGGART,1010,3.956837524
TWINBROOK,973,1.414781995
BROWNLOW,972,3.885640804
STEWARTSTOWN,933,0.994464748
ENAGH,927,44.03071458
BALLYBAY,849,7.773329441
CLIFTONVILLE,748,1.136293688
BALLYMURPHY,734,0.810663136
ST. PATRICK'S,724,1.668840372
MURLOUGH,694,11.05696275
GLENGORMLEY,681,0.780188563
WEST WINDS,675,6.439252581
O'NEILL,637,0.907073954
ATLANTIC,603,5.354319386
HOLYWOOD,599,4.912240396
ANDERSONSTOWN,532,0.978389529
DUNDRUM,529,41.74413147
COOKSTOWN EAST,513,4.83284437
MALLUSK,512,17.03871344
DROMORE,492,45.15512999
LISNARRICK,483,75.3570922
DERRYAGHY,444,3.410875722
WARINGSTOWN,417,11.84150684
RATHFRILAND,397,56.26096469
BRANDYWELL,397,0.643066043
STILES,396,4.555337853
CREGGAN SOUTH,389,1.024862608
CASTLEDAWSON,383,34.26984032
MAGHERA,378,4.248188346
CARN HILL,378,1.047262996
SPRINGTOWN,374,1.651134779
HILLHALL,364,7.5759435
NEWTOWNSTEWART,360,87.94564039
CARROWDORE,351,52.17430395
LECALE,349,55.12995453
BURNTHILL,338,0.958431258
THE BIRCHES,329,77.40923216
CASTLECOOLE,326,6.617833418
HIGHTOWN,324,0.89604069
WHITE MOUNTAIN,317,13.50848246
NEWTOWNHAMILTON,316,94.26909678
DRUMBO,313,23.74515672
SEAGAHAN,309,117.1742418
MACOSQUIN,288,88.96399413
KILWAUGHTER,273,64.58699852
AUGHNACLOY,272,83.80662928
EDERNEY and KESH,269,75.78320033
MOVILLA,255,1.209892694
GILNAHIRK,254,1.806885685
HAMILTONSBAWN,239,70.34926519
BALLYMONEY SOUTH,235,7.960523661
CULTRA,231,17.24792205
KILLYCLOGHER,229,1.472386732
RATHMORE,228,1.280571612
CARNMONEY HILL,218,3.46457783
TOLLYMORE,207,109.0691521
CARROWREAGH,204,7.394147175
BALLINAMALLARD,200,38.1486186
GRANSHA,199,75.19779662
CLOGH MILLS,194,63.62855842
CALEDON,191,93.77560687
DOAGH,190,14.60411973
AHOGHILL,189,6.930113454
WINDY HALL,188,2.91484518
SHILVODAN,174,56.88680844
CULMORE,155,8.816492533
BELLEEK and BOA,154,195.9039413
GARVAGH,149,75.72080308
DONAGHMORE,147,62.72815017
KILLINCHY,145,76.61059389
BONEYBEFORE,145,0.914517952
COOLSHINNY,141,63.33007991
ALTAHULLION,138,64.30454829
TOBERMORE,137,65.02062619
LOUGHGUILE and STRANOCUM,134,121.7412375
BALLYMAGEE,119,1.215941156
KIRKINRIOLA,101,59.51198326
NEWTOWNSAVILLE,91,81.76318022
FLORENCE COURT and KINAWLEY,75,163.7521488
Grand Total,594.3870968,2889.185108
