Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
107746324,2023-01,,,-5.897834,54.67785,On or near Glenville Park,,,anti-social-behaviour,,
107748048,2023-01,,,-5.897231,54.676015,On or near Glenville Parade,,,anti-social-behaviour,,
107748416,2023-01,,,-5.905745,54.672371,On or near ,,,anti-social-behaviour,,
107746985,2023-01,,,-5.899406,54.678632,On or near Glenville Park,,,anti-social-behaviour,,
107746441,2023-01,,,-5.90123,54.679948,On or near Abbeyglen Crescent,,,anti-social-behaviour,,
107748864,2023-01,,,-5.900517,54.672739,On or near Abbeyville Street,,,anti-social-behaviour,,
107746683,2023-01,,,-5.90123,54.679948,On or near Abbeyglen Crescent,,,anti-social-behaviour,,
82ae8ddca210db9814bc78a8bdc9a2325a266aa39c696351983726b1c3dc7746,2023-01,,,-5.902603,54.672559,On or near Cambrai Park,,,burglary,Status update unavailable,
e4d7c9952df6114fc2e1585c08eac2850e432d93691696cf8f65b463f0127809,2023-01,,,-5.908397,54.672651,On or near Station Road,,,criminal-damage-arson,Status update unavailable,
d50afea0c2c6aa408c06fa54d5fe52c942ddff32f95be33ff20cff945888d3bd,2023-01,,,-5.905815,54.675212,On or near Fernagh Gardens,,,criminal-damage-arson,Status update unavailable,
641f1828cac9a009372a1bf9e73eeb25057469e7aaa5a016b6c41f2df29d4aed,2023-01,,,-5.900381,54.677463,On or near ,,,criminal-damage-arson,Status update unavailable,
4774d867bcfdb6380bc9c0e7d58ae32f6929df3e1664169eeee3d11cc09afc70,2023-01,,,-5.890783,54.677772,On or near Old Manse Court,,,drugs,Status update unavailable,
025e4f8ab09b2052a5fb44f1d93a2002cc7234af7e0fa2dec132f165ce33f578,2023-01,,,-5.899218,54.678368,On or near Glenville Park,,,drugs,Status update unavailable,
b37911caab700da726e4446b124e52d60cee4b2952f8511f0edc338feeadc8cf,2023-01,,,-5.892469,54.676948,On or near Shore Road,,,shoplifting,Status update unavailable,
58b6787861432ee2e7601bf42146ed45503a4eac033398ca389223c14cbcf9bb,2023-01,,,-5.892469,54.676948,On or near Shore Road,,,shoplifting,Status update unavailable,
19db1858f7f6b4ed2daab00e550226268002ecf59c36589044cff15f662a8a4c,2023-01,,,-5.892469,54.676948,On or near Shore Road,,,shoplifting,Status update unavailable,
1e3a7fbe74db58ba012b8ed3b8395227a8d8000f640b2339ba60c4aae5b71b5c,2023-01,,,-5.892469,54.676948,On or near Shore Road,,,shoplifting,Status update unavailable,
0304344e8c0bc3477bc96cfa23202483b09f3be943b9a5c4fbcccfb4243b6592,2023-01,,,-5.896055,54.678663,On or near ,,,vehicle-crime,Status update unavailable,
599c5044706a08be8f8be25b1f585945d84f046c2445b261544b257f9dd61a5c,2023-01,,,-5.907162,54.674049,On or near ,,,violent-crime,Status update unavailable,
86d260e0e1e67e835f438602fcee7943cbb0fc3d55ae3c54ca36b67071435ee7,2023-01,,,-5.895159,54.677696,On or near ,,,violent-crime,Status update unavailable,
3c6d2224767523e996f24c602ec668847b63e694c23f8715462dba648cd3714b,2023-01,,,-5.903052,54.673484,On or near Abbeyville Place,,,violent-crime,Status update unavailable,
133c773793329e95e7557082ffff0c3b147a80cebb73efbe6a9bcac464d95799,2023-01,,,-5.902498,54.673088,On or near Abbeyville Street,,,violent-crime,Status update unavailable,
3df400bda5f6bfd5de22609472be47e16dc92a2b1b9f70e251aeb1ddac2c30b9,2023-01,,,-5.895434,54.68018,On or near Old Manse Road,,,violent-crime,Status update unavailable,
40c460de18bd8eb9ce1aa470fe862cf609d86646c672d2237f523fa9793944ed,2023-01,,,-5.90108,54.673539,On or near Abbeyville Gardens,,,violent-crime,Status update unavailable,
01ae318ed0bbb630569198420837ccaaa575f8e1e9e770bff7de37bb169e4d65,2023-01,,,-5.911929,54.673916,On or near Princes Crescent,,,violent-crime,Status update unavailable,
f148907c72c72581d498c74272b6b5ee526c4485fefaee143d7bb0709cf0577b,2023-01,,,-5.911929,54.673916,On or near Princes Crescent,,,other-crime,Status update unavailable,
93e0217c01fec5cba03b3bcda97693a354a79b434e67cbe64409cf84c579aa6d,2023-01,,,-5.899218,54.678368,On or near Glenville Park,,,other-crime,Status update unavailable,
21e283b7eefbdee97d33edf6dea375191b38ec19c0896bc717052f007282adf1,2023-01,,,-6.192086,54.69321,On or near Abbey Gardens,,,criminal-damage-arson,Status update unavailable,
38793fc1ec2214561d304e746f1aed871cd5622810e2b5155a97ddde6ab0c656,2023-01,,,-6.192086,54.69321,On or near Abbey Gardens,,,criminal-damage-arson,Status update unavailable,
24ebf0246361a54dd94fa0f41f6ae8324cbfbcad8e7bb98564b0f07d663f9ce2,2023-01,,,-6.19049,54.689332,On or near Oldstone Road,,,criminal-damage-arson,Status update unavailable,
9fc4f3ef59f7d6c15f6bb31abd05e5142132fe1051542dd8bdc4b40df82e7082,2023-01,,,-6.214565,54.649996,On or near ,,,drugs,Status update unavailable,
3a2877602f0a80a4d72ab83b858dc48d5b9b93fb0caa409a5fe128e38440cc48,2023-01,,,-6.224302,54.688907,On or near Tirgracy Road,,,other-theft,Status update unavailable,
efff1f2efdc049bce602228182e5fa53a034e216c59c54d77acbbf490618216c,2023-01,,,-6.214565,54.649996,On or near ,,,other-theft,Status update unavailable,
7153a10344488370868ff62d6f345fb686904d884e174076226523e3e85be601,2023-01,,,-6.214511,54.62545,On or near Crumlin Road,,,other-theft,Status update unavailable,
5bf16050ef773b67d44ddc0beaa26500aa36c09af1e60e8ecfc9bcbae2ad2ada,2023-01,,,-6.202209,54.630514,On or near Manse Road,,,violent-crime,Status update unavailable,
c04acde210b6dcbf79768e00036c97a6709cbb880f956c55572ee1655fe27975,2023-01,,,-6.192086,54.69321,On or near Abbey Gardens,,,violent-crime,Status update unavailable,
d5c31cd833265a1fa359d4ba5cdfc74e681dd751f13abb55d76fdba94044fd73,2023-01,,,-6.192086,54.69321,On or near Abbey Gardens,,,violent-crime,Status update unavailable,
cca711bd7936f715132e36a4dd5cebb1c43eaccd7251db9217d9261cac57143a,2023-01,,,-6.192086,54.69321,On or near Abbey Gardens,,,violent-crime,Status update unavailable,
db2c10f73a92f7b3c56d9017d614e47a9dbbfdac7f7bc02d05254a179da08a95,2023-01,,,-6.192086,54.69321,On or near Abbey Gardens,,,violent-crime,Status update unavailable,
30541a24aeab472f53e0f3aacae2bcee983151f85c231681df8c98a3e9365838,2023-01,,,-6.192086,54.69321,On or near Abbey Gardens,,,violent-crime,Status update unavailable,
ceffbee75a759665d370148f2bb3ea56a687342a2164b27a497f81c12fee4818,2023-01,,,-6.214565,54.649996,On or near ,,,other-crime,Status update unavailable,
107747135,2023-01,,,-6.219285,54.714583,On or near Market Square,,,anti-social-behaviour,,
107746313,2023-01,,,-6.212964,54.716799,On or near ,,,anti-social-behaviour,,
107746705,2023-01,,,-6.219285,54.714583,On or near Market Square,,,anti-social-behaviour,,
107747242,2023-01,,,-6.217056,54.715161,On or near Castle Walk,,,anti-social-behaviour,,
107748054,2023-01,,,-6.217623,54.713193,On or near Riverside,,,anti-social-behaviour,,
107748058,2023-01,,,-6.217845,54.714157,On or near Riverside,,,anti-social-behaviour,,
107748487,2023-01,,,-6.219285,54.714583,On or near Market Square,,,anti-social-behaviour,,
107748793,2023-01,,,-6.219285,54.714583,On or near Market Square,,,anti-social-behaviour,,
107748425,2023-01,,,-6.218029,54.714214,On or near Railway Street,,,anti-social-behaviour,,
107737478,2023-01,,,-6.224699,54.724203,On or near Castle Park,,,anti-social-behaviour,,
