Month,Longitude,Latitude,Location,Crime type
2025-11,-5.905607,54.674148,On or near ,anti-social-behaviour
2025-11,-5.896821,54.674939,On or near Glenville Green,anti-social-behaviour
2025-11,-5.909597,54.672833,On or near Station Road,anti-social-behaviour
2025-11,-5.900907,54.676295,On or near Glenview Park,anti-social-behaviour
2025-11,-5.897834,54.67785,On or near Glenville Park,anti-social-behaviour
2025-11,-5.908397,54.672651,On or near Station Road,criminal-damage-arson
2025-11,-5.890783,54.677772,On or near Old Manse Court,drugs
2025-11,-5.896821,54.674939,On or near Glenville Green,drugs
2025-11,-5.900381,54.677463,On or near ,drugs
2025-11,-5.907435,54.673272,On or near ,violent-crime
2025-11,-5.910402,54.673746,On or near Princes Crescent,violent-crime
2025-11,-5.913921,54.674058,On or near Doagh Road,violent-crime
2025-11,-6.155363,54.687607,On or near Seven Mile Straight,burglary
2025-11,-6.192086,54.69321,On or near Abbey Gardens,criminal-damage-arson
2025-11,-6.23961,54.646967,On or near ,criminal-damage-arson
2025-11,-6.21347,54.625524,On or near Glendarragh Park,criminal-damage-arson
2025-11,-6.204038,54.654728,On or near ,drugs
2025-11,-6.294709,54.616076,On or near Largy Road,drugs
2025-11,-6.214511,54.62545,On or near Crumlin Road,drugs
2025-11,-6.181587,54.663692,On or near Killead Road,other-theft
2025-11,-6.243231,54.62516,On or near Cidercourt Road,other-theft
2025-11,-6.204038,54.654728,On or near ,other-theft
2025-11,-6.271803,54.62399,On or near Ballyclan Road,other-theft
2025-11,-6.214511,54.62545,On or near Crumlin Road,other-theft
2025-11,-6.294709,54.616076,On or near Largy Road,violent-crime
2025-11,-6.204038,54.654728,On or near ,violent-crime
2025-11,-6.192086,54.69321,On or near Abbey Gardens,violent-crime
2025-11,-6.210598,54.67504,On or near ,violent-crime
2025-11,-6.234413,54.730706,On or near ,anti-social-behaviour
2025-11,-6.227299,54.721897,On or near Coral Crescent,anti-social-behaviour
2025-11,-6.218505,54.706539,On or near Meadowside,anti-social-behaviour
2025-11,-6.214358,54.713684,On or near Fountain Street,anti-social-behaviour
2025-11,-6.220627,54.706966,On or near Briarhill,anti-social-behaviour
2025-11,-6.218818,54.716732,On or near Menin Road,anti-social-behaviour
2025-11,-6.222188,54.708534,On or near Greenview Avenue,anti-social-behaviour
2025-11,-6.219285,54.714583,On or near Market Square,anti-social-behaviour
2025-11,-6.217056,54.715161,On or near Castle Walk,anti-social-behaviour
2025-11,-6.218029,54.714214,On or near Railway Street,anti-social-behaviour
2025-11,-6.220506,54.71399,On or near Clarke Court,anti-social-behaviour
2025-11,-6.218818,54.716732,On or near Menin Road,criminal-damage-arson
2025-11,-6.221368,54.715206,On or near Market Square,criminal-damage-arson
2025-11,-6.225262,54.713466,On or near Lough Road,criminal-damage-arson
2025-11,-6.22216,54.709162,On or near Greenview Avenue,criminal-damage-arson
2025-11,-6.218818,54.716732,On or near Menin Road,drugs
2025-11,-6.221532,54.721731,On or near ,other-theft
