Cluster,Latitude,Longitude,CrimeCount,WardCount
0,54.58995757940083,-5.9381170371702865,69499,189
1,54.59208927973468,-6.247525270261739,615,4
2,54.81130111004993,-6.277305908301256,7152,24
3,54.34379291630123,-6.2792418920803525,2098,6
4,54.35060256942008,-6.650081423741608,1440,3
5,54.35744323444255,-6.54143237880201,203,2
6,55.149898285632005,-6.673177633976345,4218,13
7,55.079788835004535,-6.508883135150922,730,5
8,54.98743919021014,-6.47783441672241,194,2
9,55.04525244026325,-6.9413227463876845,949,3
10,55.00486160869259,-7.304245122913192,8768,28
11,54.82700586146136,-7.447032490025226,897,4
12,54.75829786119462,-7.503035663528797,197,2
13,54.59726202499888,-7.299060401874637,1743,8
14,54.25896713712212,-7.452167791068978,322,3
15,54.34277917622357,-7.625916266696704,1341,5
16,54.809281028775374,-5.761348149841058,220,2
17,54.86045978967309,-5.8391953730712185,1447,5
18,54.75689065290953,-6.602448684884832,1139,5
19,54.51588534659167,-6.7332633816158,1891,9
20,54.63804318598964,-6.757564367415638,713,4
21,54.85042065453962,-6.634616454086996,288,2
22,54.16815865259271,-6.316170428604617,4865,13
23,54.135668063837024,-5.952044806198224,280,2
24,54.40228226999934,-5.862748119235891,813,3
25,54.36562578360629,-5.704646881286178,1310,5
26,54.235591250172035,-5.885064942856604,1558,3
