eps_km,min_samples,total_points,noise_points,noise_share,cluster_count,avg_cluster_size,median_cluster_size,min_cluster_size,max_cluster_size
0.5,2,462,462,1.0,0,0.0,0.0,0,0
0.5,3,462,462,1.0,0,0.0,0.0,0,0
0.5,4,462,462,1.0,0,0.0,0.0,0,0
0.5,5,462,462,1.0,0,0.0,0.0,0,0
0.5,10,462,462,1.0,0,0.0,0.0,0,0
0.5,20,462,462,1.0,0,0.0,0.0,0,0
0.5,30,462,462,1.0,0,0.0,0.0,0,0
0.5,50,462,462,1.0,0,0.0,0.0,0,0
1.0,2,462,378,0.8181818181818182,25,3.36,2.0,2,9
1.0,3,462,404,0.8744588744588745,12,4.833333333333333,4.0,3,9
1.0,4,462,438,0.948051948051948,5,4.8,4.0,4,8
1.0,5,462,462,1.0,0,0.0,0.0,0,0
1.0,10,462,462,1.0,0,0.0,0.0,0,0
1.0,20,462,462,1.0,0,0.0,0.0,0,0
1.0,30,462,462,1.0,0,0.0,0.0,0,0
1.0,50,462,462,1.0,0,0.0,0.0,0,0
1.5,2,462,272,0.5887445887445888,26,7.3076923076923075,3.0,2,70
1.5,3,462,292,0.6320346320346321,16,10.625,4.0,3,70
1.5,4,462,332,0.7186147186147186,8,16.25,12.0,4,53
1.5,5,462,357,0.7727272727272727,9,11.666666666666666,10.0,4,28
1.5,10,462,462,1.0,0,0.0,0.0,0,0
1.5,20,462,462,1.0,0,0.0,0.0,0,0
1.5,30,462,462,1.0,0,0.0,0.0,0,0
1.5,50,462,462,1.0,0,0.0,0.0,0,0
2.0,2,462,236,0.5108225108225108,24,9.416666666666666,3.5,2,106
2.0,3,462,246,0.5324675324675324,19,11.368421052631579,5.0,3,106
2.0,4,462,269,0.5822510822510822,12,16.083333333333332,6.0,4,104
2.0,5,462,290,0.6277056277056277,10,17.2,6.0,5,95
2.0,10,462,405,0.8766233766233766,4,14.25,15.0,10,17
2.0,20,462,462,1.0,0,0.0,0.0,0,0
2.0,30,462,462,1.0,0,0.0,0.0,0,0
2.0,50,462,462,1.0,0,0.0,0.0,0,0
3.0,2,462,195,0.42207792207792205,27,9.88888888888889,3.0,2,121
3.0,3,462,211,0.45670995670995673,19,13.210526315789474,4.0,3,121
3.0,4,462,234,0.5064935064935064,12,19.0,6.0,4,121
3.0,5,462,252,0.5454545454545454,10,21.0,8.0,6,112
3.0,10,462,315,0.6818181818181818,3,49.0,24.0,17,106
3.0,20,462,441,0.9545454545454546,1,21.0,21.0,21,21
3.0,30,462,462,1.0,0,0.0,0.0,0,0
3.0,50,462,462,1.0,0,0.0,0.0,0,0
4.0,2,462,157,0.3398268398268398,26,11.73076923076923,4.0,2,161
4.0,3,462,173,0.37445887445887444,18,16.055555555555557,5.0,3,161
4.0,4,462,191,0.4134199134199134,14,19.357142857142858,7.0,4,160
4.0,5,462,204,0.44155844155844154,12,21.5,7.0,4,156
4.0,10,462,279,0.6038961038961039,5,36.6,20.0,10,117
4.0,20,462,347,0.7510822510822511,2,57.5,57.5,23,92
4.0,30,462,413,0.8939393939393939,1,49.0,49.0,49,49
4.0,50,462,462,1.0,0,0.0,0.0,0,0
5.0,2,462,108,0.23376623376623376,27,13.11111111111111,4.0,2,189
5.0,3,462,120,0.2597402597402597,21,16.285714285714285,5.0,3,189
5.0,4,462,144,0.3116883116883117,17,18.705882352941178,8.0,4,169
5.0,5,462,164,0.354978354978355,13,22.923076923076923,9.0,5,169
5.0,10,462,244,0.5281385281385281,5,43.6,13.0,11,156
5.0,20,462,305,0.6601731601731602,3,52.333333333333336,25.0,20,112
5.0,30,462,376,0.8138528138528138,1,86.0,86.0,86,86
5.0,50,462,462,1.0,0,0.0,0.0,0,0
7.5,2,462,40,0.08658008658008658,9,46.888888888888886,10.0,2,324
7.5,3,462,44,0.09523809523809523,7,59.714285714285715,13.0,3,324
7.5,4,462,61,0.13203463203463203,9,44.55555555555556,13.0,8,284
7.5,5,462,72,0.15584415584415584,11,35.45454545454545,10.0,4,253
7.5,10,462,174,0.37662337662337664,6,48.0,15.5,9,208
7.5,20,462,266,0.5757575757575758,2,98.0,98.0,27,169
7.5,30,462,305,0.6601731601731602,1,157.0,157.0,157,157
7.5,50,462,346,0.7489177489177489,1,116.0,116.0,116,116
10.0,2,462,6,0.012987012987012988,2,228.0,228.0,3,453
10.0,3,462,6,0.012987012987012988,2,228.0,228.0,3,453
10.0,4,462,11,0.023809523809523808,1,451.0,451.0,451,451
10.0,5,462,16,0.03463203463203463,2,223.0,223.0,31,415
10.0,10,462,82,0.1774891774891775,6,63.333333333333336,19.0,10,286
10.0,20,462,214,0.46320346320346323,2,124.0,124.0,30,218
10.0,30,462,283,0.6125541125541125,1,179.0,179.0,179,179
10.0,50,462,301,0.6515151515151515,1,161.0,161.0,161,161
15.0,2,462,0,0.0,1,462.0,462.0,462,462
15.0,3,462,0,0.0,1,462.0,462.0,462,462
15.0,4,462,0,0.0,1,462.0,462.0,462,462
15.0,5,462,0,0.0,1,462.0,462.0,462,462
15.0,10,462,3,0.006493506493506494,1,459.0,459.0,459,459
15.0,20,462,70,0.15151515151515152,3,130.66666666666666,38.0,26,328
15.0,30,462,162,0.35064935064935066,2,150.0,150.0,38,262
15.0,50,462,246,0.5324675324675324,1,216.0,216.0,216,216
