WardCode_w,WARDNAME
N08000103,ANTRIM CENTRE
N08000104,BALLYCLARE EAST
N08000105,BALLYCLARE WEST
N08000112,CARNMONEY HILL
N08000118,FAIRVIEW
N08000128,O'NEILL
N08000131,RATHCOOLE
N08000204,BANBRIDGE NORTH
N08000205,BANBRIDGE SOUTH
N08000207,BLACKWATERTOWN
N08000209,BROWNLOW
N08000212,CRAIGAVON CENTRE
N08000224,LOUGH ROAD
N08000228,MAHON
N08000231,NAVAN
N08000236,SEAGAHAN
N08000303,BALLYGOMARTIN
N08000305,BALLYMURPHY
N08000308,BEERSBRIDGE
N08000311,BELVOIR
N08000320,CONNSWATER
N08000327,FORTH RIVER
N08000332,INNISFAYLE
N08000335,LAGMORE
N08000338,MEROK
N08000342,ORMEAU
N08000346,SANDOWN
N08000349,SHAW'S ROAD
N08000354,TURF LODGE
N08000401,AGHADOWEY
N08000402,ALTAHULLION
N08000404,BALLYCASTLE
N08000406,BALLYMONEY EAST
N08000407,BALLYMONEY NORTH
N08000408,BALLYMONEY SOUTH
N08000414,DRUMSURN
N08000420,GIANT'S CAUSEWAY
N08000427,LURIGETHAN
N08000433,QUARRY
N08000434,RASHARKIN
N08000440,WINDY HALL
N08000503,BALLYMAGROARTY
N08000508,CITY WALLS
N08000514,DRUMAHOE
N08000521,GALLIAGH
N08000523,GLENELLY VALLEY
N08000526,MADAM'S BANK
N08000531,SHANTALLOW
N08000533,SHERIFF'S MOUNTAIN
N08000538,STRABANE NORTH
N08000726,LAGAN
N08000737,RAVERNET
N08000738,STONYFORD
N08000808,BRAIDWATER
N08000813,CASTLE
N08000817,CURRAN and INVER
N08000828,KILROOT
N08000830,KIRKINRIOLA
N08000832,MAINE
N08000837,THE MAIDENS
N08000839,WHITEHEAD SOUTH
N08000914,COOKSTOWN EAST
N08000915,COOKSTOWN SOUTH
N08000916,COOKSTOWN WEST
N08000917,COOLSHINNY
N08000925,LOUGHRY
N08000935,TAMLAGHT O'CRILLY
N08000936,THE LOUP
N08001004,BALLYDUGAN
N08001005,BALLYNAHINCH
N08001009,BURREN
N08001015,DAMOLLY
N08001024,HILLTOWN
N08001025,KILKEEL
N08001028,LECALE
N08001031,MULLAGHBANE
N08001040,WARRENPOINT
N08001041,WHITECROSS
N08001111,CASTLE
N08001114,COMBER SOUTH
N08001116,CONWAY SQUARE
N08001117,CRONSTOWN
N08001119,DONAGHADEE
N08001124,HELEN'S BAY
N08001125,HOLYWOOD
N08001126,KILCOOLEY
N08001135,RATHMORE
N08001137,SILVERBIRCH
N08001139,WARREN
N08001140,WEST WINDS
N08000740,WHITE MOUNTAIN
N08001027,KNOCKNASHINNA
N08000535,SKEOGE
N08000539,STRABANE WEST
N08000329,GARNERVILLE
N08000347,SHANDON
N08000617,EDERNEY and KESH
N08000437,TORR HEAD and RATHLIN
