WardCode,WARDNAME,Population,NumberOfCrimes,CrimeRatePer100kPeople,RatePercentile,RateRank,HighCrimeRate,TotalCrimes,AvgMonthly,TrendChange,TrendPct,TrendSlope,Months,FirstMonth,LastMonth,YoYCurrent,YoYPrior,YoYChange,AnnualizedCrimeRatePer100k,TotalHarm,HarmScorePer100k,RatingScore,RatingBand
N08000101,ABBEY,3355,360,3678.94400681286,0.8593073593073594,66,True,360,10.285714285714286,-0.6954793840039746,-17.500000000000007,0.03531666019612018,35,2023-01,2025-11,5,5,0.0,3678.94400681286,522,5334.468809878646,89.9,High
N08000102,ALDERGROVE,4684,162,1185.7996828107846,0.42207792207792205,268,False,162,4.628571428571429,-1.7791061770566468,-75.75757575757575,-0.02230610433755056,35,2023-01,2025-11,0,4,-100.0,1185.7996828107846,288,2108.0883249969497,39.9,Stable
N08000103,ANTRIM CENTRE,4093,610,5109.76929252033,0.9393939393939394,29,True,610,17.428571428571427,-3.2575942666340905,-47.05882352941176,0.003627153280075718,35,2023-01,2025-11,11,22,-50.0,5109.76929252033,829,6944.260235244844,91.7,High
N08000104,BALLYCLARE EAST,4142,358,2963.3717320824994,0.7943722943722944,96,False,358,10.228571428571428,-0.8852406244970217,-19.298245614035075,-0.016230538569846097,35,2023-01,2025-11,7,4,75.0,2963.3717320824994,461,3815.961923156515,69.7,Watch
N08000105,BALLYCLARE WEST,4044,60,508.69012293344633,0.07142857142857142,430,False,60,1.7142857142857142,-0.9066930431915594,-78.57142857142857,-0.011290371737221092,35,2023-01,2025-11,1,1,0.0,508.69012293344633,78,661.2971598134803,22.7,Stable
N08000106,BALLYDUFF,3020,108,1226.1116367076634,0.43722943722943725,261,False,108,3.085714285714286,-1.9867549668874172,-75.0,-0.030608269797985404,35,2023-01,2025-11,3,7,-57.14285714285714,1226.1116367076634,215,2440.870387890256,37.4,Stable
N08000107,BALLYHENRY,2711,66,834.6946303419929,0.24242424242424243,351,False,66,1.8857142857142857,-1.5984261650067622,-81.24999999999999,-0.018495040952566915,35,2023-01,2025-11,1,1,0.0,834.6946303419929,138,1745.2705907150764,29.6,Stable
N08000108,BALLYNURE,3610,75,712.3070834982192,0.19480519480519481,373,False,75,2.142857142857143,-0.5540166204986148,-54.54545454545453,-0.009776763891152025,35,2023-01,2025-11,1,2,-50.0,712.3070834982192,88,835.7736446379105,32.3,Stable
N08000109,BALLYROBERT,3810,82,737.9077615298088,0.20346320346320346,369,False,82,2.342857142857143,-0.437445319335083,-38.46153846153846,0.0015439246564767685,35,2023-01,2025-11,4,2,100.0,737.9077615298088,82,737.9077615298088,39.3,Stable
N08000110,BURNTHILL,3715,124,1144.3953085945009,0.3961038961038961,280,False,124,3.5428571428571427,-0.9869896814715117,-61.11111111111111,-0.007012226155603556,35,2023-01,2025-11,2,1,100.0,1144.3953085945009,259,2390.309555854644,48.2,Stable
N08000111,CARNMONEY,2607,63,828.5385500575373,0.24025974025974026,352,False,63,1.8,-0.12786088735455836,-11.111111111111121,-0.0007521228667915188,35,2023-01,2025-11,1,0,,828.5385500575373,90,1183.6265000821963,40.6,Stable
N08000112,CARNMONEY HILL,3305,136,1410.8493624378646,0.5021645021645021,231,False,136,3.8857142857142857,0.7060010085728694,175.00000000000003,0.03144374239862358,35,2023-01,2025-11,4,4,0.0,1410.8493624378646,145,1504.2143937756648,64.8,Watch
N08000114,COLLINBRIDGE,2927,176,2061.5940260627654,0.6753246753246753,151,False,176,5.0285714285714285,-1.3665869490946363,-41.379310344827594,-0.02268074978539417,35,2023-01,2025-11,2,6,-66.66666666666666,2061.5940260627654,293,3432.085509297672,57.5,Watch
N08000115,CRANFIELD,3175,82,885.4893138357704,0.25757575757575757,344,False,82,2.342857142857143,-1.0498687664041995,-50.0,-0.013939434041333068,35,2023-01,2025-11,3,0,,885.4893138357704,145,1565.804274465692,33.5,Stable
N08000116,CRUMLIN,3705,204,1887.7964141122034,0.6385281385281385,168,False,204,5.828571428571428,-1.3495276653171389,-55.55555555555556,-0.04120406597186781,35,2023-01,2025-11,3,6,-50.0,1887.7964141122034,244,2257.9525737420477,49.8,Stable
N08000117,DOAGH,3471,100,987.776268675145,0.30303030303030304,323,False,100,2.857142857142857,-0.4801690194948621,-45.454545454545446,0.009361278363261177,35,2023-01,2025-11,3,2,50.0,987.776268675145,109,1076.6761328559082,48.5,Stable
N08000118,FAIRVIEW,3115,60,660.398991057097,0.16233766233766234,388,False,60,1.7142857142857142,-0.21401819154628143,-33.33333333333333,-0.02005296500622721,35,2023-01,2025-11,1,0,,660.398991057097,78,858.5186883742261,23.1,Stable
N08000119,FOUNTAIN HILL,3465,136,1345.7019171304885,0.474025974025974,244,False,136,3.8857142857142857,-1.2506012506012507,-76.47058823529413,-0.032174485955998554,35,2023-01,2025-11,1,5,-80.0,1345.7019171304885,208,2058.1323438466297,39.5,Stable
N08000120,GLEBE,3042,66,743.8715131022822,0.20995670995670995,366,False,66,1.8857142857142857,0.43830813061582274,44.44444444444442,0.0009208154004534203,35,2023-01,2025-11,4,3,33.33333333333333,743.8715131022822,84,946.7455621301774,39.1,Stable
N08000121,GLENGORMLEY,3421,340,3407.5249509333107,0.8463203463203464,72,True,340,9.714285714285714,-2.2410601188736234,-39.6551724137931,-0.048227417245764126,35,2023-01,2025-11,7,5,40.0,3407.5249509333107,385,3858.5209003215436,62.9,Watch
N08000122,GREYSTONE,3072,162,1808.0357142857144,0.6103896103896104,181,False,162,4.628571428571429,-0.6510416666666665,-24.999999999999993,0.015592174369747906,35,2023-01,2025-11,9,2,350.0,1808.0357142857144,243,2712.0535714285716,71.4,Elevated
N08000124,JORDANSTOWN,3244,38,401.62057424696144,0.030303030303030304,449,False,38,1.0857142857142856,0.10275380189066996,50.0,-0.003626604772611875,35,2023-01,2025-11,0,0,,401.62057424696144,56,591.861898890259,24.6,Stable
N08000125,MALLUSK,6279,278,1517.9851204695926,0.5346320346320347,216,False,278,7.942857142857143,-1.2740882306099697,-63.15789473684211,0.010260514462195154,35,2023-01,2025-11,2,7,-71.42857142857143,1517.9851204695926,368,2009.419152276295,64.8,Watch
N08000126,MONKSTOWN,3726,225,2070.3933747412007,0.6818181818181818,148,False,225,6.428571428571429,-2.504920379316514,-87.49999999999999,-0.05217331162201864,35,2023-01,2025-11,1,6,-83.33333333333334,2070.3933747412007,369,3395.445134575569,50.6,Stable
N08000127,MOSSLEY,3708,261,2413.3148404993067,0.7359307359307359,123,False,261,7.457142857142857,-2.3372887450557354,-74.28571428571429,-0.08460773737758318,35,2023-01,2025-11,1,4,-75.0,2413.3148404993067,364,3365.695792880259,52.8,Stable
N08000128,O'NEILL,3328,346,3564.5604395604396,0.854978354978355,68,True,346,9.885714285714286,-1.9030448717948736,-33.92857142857145,-0.03417232277526395,35,2023-01,2025-11,12,7,71.42857142857143,3564.5604395604396,526,5418.956043956044,65.8,Watch
N08000129,PARKGATE,3259,80,841.625389032569,0.24458874458874458,350,False,80,2.2857142857142856,-0.7159660427534008,-50.0,-0.020284272039592134,35,2023-01,2025-11,3,0,,841.625389032569,134,1409.7225266295534,28.7,Stable
N08000130,RANDALSTOWN,3734,211,1937.4091361236513,0.6428571428571429,166,False,211,6.0285714285714285,-1.160507052312087,-46.42857142857142,-0.011627575507975017,35,2023-01,2025-11,6,3,100.0,1937.4091361236513,328,3011.7070931211265,62.1,Watch
N08000131,RATHCOOLE,3377,258,2619.400143830111,0.7575757575757576,113,False,258,7.371428571428571,-3.6521567466192875,-80.43478260869566,-0.07979502135470705,35,2023-01,2025-11,3,4,-25.0,2619.400143830111,375,3807.267650915859,54.5,Stable
N08000132,ROSTULLA,3921,122,1066.7832550005464,0.34415584415584416,304,False,122,3.4857142857142858,-0.17002465357476837,-25.000000000000007,0.0057865533359480045,35,2023-01,2025-11,2,0,,1066.7832550005464,161,1407.8041315990818,50.6,Stable
N08000133,SHILVODAN,3896,73,642.4171311234967,0.15367965367965367,392,False,73,2.085714285714286,-0.3422313483915127,-50.0,-0.004889019262735903,35,2023-01,2025-11,1,3,-66.66666666666666,642.4171311234967,145,1276.034027574069,32.3,Stable
N08000134,SPRINGFARM,5543,1070,6618.386124068968,0.9696969696969697,15,True,1070,30.571428571428573,-1.2628540501533463,-23.076923076923077,-0.002021375030257411,35,2023-01,2025-11,13,18,-27.77777777777778,6618.386124068968,3234,20003.60815442901,91.2,High
N08000135,STEEPLE,3794,298,2692.9738685141956,0.7683982683982684,108,False,298,8.514285714285714,-3.5143208574942886,-72.72727272727272,-0.0830590538798545,35,2023-01,2025-11,1,3,-66.66666666666666,2692.9738685141956,527,4762.406807741547,55.2,Watch
N08000136,STILES,3987,197,1694.077179404493,0.5909090909090909,190,False,197,5.628571428571429,-0.8360504974500458,-41.666666666666664,0.003231791838882518,35,2023-01,2025-11,2,4,-50.0,1694.077179404493,259,2227.238525206923,67.1,Watch
N08000137,TEMPLEPATRICK,3521,115,1119.8117417941332,0.3787878787878788,288,False,115,3.2857142857142856,-1.6093912714191045,-70.83333333333334,-0.022116202345749437,35,2023-01,2025-11,2,2,0.0,1119.8117417941332,168,1635.8988923601248,37.3,Stable
N08000138,TOOME,3936,60,522.6480836236933,0.08225108225108226,425,False,60,1.7142857142857142,-0.508130081300813,-85.71428571428572,-0.004056500649040098,35,2023-01,2025-11,0,2,-100.0,522.6480836236933,78,679.4425087108015,27.8,Stable
N08000139,VALLEY,3717,437,4030.9004957915367,0.8744588744588745,59,True,437,12.485714285714286,-2.5109855618330204,-40.00000000000001,-0.009796762396107233,35,2023-01,2025-11,9,5,80.0,4030.9004957915367,651,6004.842615012107,79.8,Elevated
N08000140,WHITEHOUSE,3221,288,3065.5963099303676,0.8138528138528138,87,True,288,8.228571428571428,-1.5523129462899719,-44.11764705882353,-0.02817643667215412,35,2023-01,2025-11,5,8,-37.5,3065.5963099303676,463,4928.371845478334,64.7,Watch
N08000201,AGHAGALLON,5047,142,964.6466076028191,0.2922077922077922,328,False,142,4.057142857142857,-0.5283666864804174,-42.10526315789473,-0.0017760224755644332,35,2023-01,2025-11,2,0,,964.6466076028191,160,1086.9257550454302,43.9,Stable
N08000202,BALLYBAY,5458,315,1978.7467936973248,0.6493506493506493,163,False,315,9.0,-0.1832172957127155,-15.789473684210542,-0.004516280678632742,35,2023-01,2025-11,5,16,-68.75,1978.7467936973248,378,2374.4961524367905,67.1,Watch
N08000203,BANBRIDGE EAST,4479,201,1538.608745574586,0.5411255411255411,213,False,201,5.742857142857143,-1.4884274763712133,-66.66666666666666,-0.02751714662198885,35,2023-01,2025-11,2,2,0.0,1538.608745574586,241,1844.7995407138076,45.8,Stable
N08000204,BANBRIDGE NORTH,4272,202,1621.1878009630816,0.5714285714285714,199,False,202,5.771428571428571,-1.3264669163545568,-50.0,-0.010294379924254339,35,2023-01,2025-11,9,3,200.0,1621.1878009630816,283,2271.2680577849114,58.4,Watch
N08000205,BANBRIDGE SOUTH,5043,683,4643.494518568879,0.9177489177489178,39,True,683,19.514285714285716,-1.7846519928613929,-31.76470588235295,-0.016885596197630325,35,2023-01,2025-11,16,15,6.666666666666667,4643.494518568879,863,5867.255885102406,78.0,Elevated
N08000206,BANBRIDGE WEST,5431,551,3478.4438540652864,0.8506493506493507,70,True,551,15.742857142857142,-1.1661449702326157,-29.68750000000001,-0.0005673416484988607,35,2023-01,2025-11,16,15,6.666666666666667,3478.4438540652864,744,4696.846147775996,83.4,Elevated
N08000207,BLACKWATERTOWN,5502,151,940.95653528587,0.2813852813852814,333,False,151,4.314285714285714,-1.6357688113413307,-87.09677419354838,-0.02647369380322102,35,2023-01,2025-11,0,3,-100.0,940.95653528587,223,1389.6245521109206,28.2,Stable
N08000208,BLEARY,4981,90,598.8470473513637,0.1341991341991342,401,False,87,2.4857142857142858,-0.4015257980325237,-60.00000000000001,-0.0056236106167020065,35,2023-01,2025-11,0,2,-100.0,598.8470473513637,159,1094.4446037800785,30.6,Stable
N08000209,BROWNLOW,6626,634,3280.582984778578,0.829004329004329,80,True,634,18.114285714285714,-1.9116611329107553,-46.913580246913575,-0.046755798606795546,35,2023-01,2025-11,8,9,-11.11111111111111,3280.582984778578,952,4926.048898279504,62.0,Watch
N08000210,CATHEDRAL,5119,441,2953.7018949013477,0.7922077922077922,97,False,441,12.6,-1.5628052353975384,-38.095238095238095,-0.020520026725282824,35,2023-01,2025-11,11,14,-21.428571428571427,2953.7018949013477,576,3857.8963525242093,66.9,Watch
N08000211,CORCRAIN,5455,532,3343.7213565536204,0.8376623376623377,76,True,532,15.2,-0.9165902841429872,-20.833333333333314,-0.014737333980338274,35,2023-01,2025-11,23,14,64.28571428571429,3343.7213565536204,689,4330.496268168129,73.8,Elevated
N08000212,CRAIGAVON CENTRE,6750,658,3342.2222222222226,0.8354978354978355,77,True,658,18.8,-1.9259259259259252,-36.448598130841106,-0.017844174706919808,35,2023-01,2025-11,13,23,-43.47826086956522,3342.2222222222226,837,4251.428571428572,71.6,Elevated
N08000213,DEMESNE,5705,263,1580.568423688494,0.5584415584415584,205,False,263,7.514285714285714,0.05842827928717487,4.545454545454535,0.0004909939435897145,35,2023-01,2025-11,5,8,-37.5,1580.568423688494,285,1712.7832728183298,63.2,Watch
N08000214,DERRYTRASNA,4981,129,887.9456219347807,0.2597402597402597,343,False,129,3.6857142857142855,-0.4015257980325234,-35.29411764705881,-0.003880291325524377,35,2023-01,2025-11,1,3,-66.66666666666666,887.9456219347807,196,1349.126681389279,40.5,Stable
N08000215,DONAGHCLONEY,4935,167,1160.2257924446374,0.41125541125541126,273,False,167,4.771428571428571,-1.0131712259371835,-53.57142857142857,-0.02372580237768866,35,2023-01,2025-11,2,1,100.0,1160.2257924446374,234,1625.705601389492,38.4,Stable
N08000216,DROMORE,4843,162,1146.8688239284977,0.39826839826839827,279,False,162,4.628571428571429,-1.3077293688485099,-76.0,-0.02122674384641322,35,2023-01,2025-11,4,4,0.0,1146.8688239284977,207,1465.4434972419692,39.0,Stable
N08000217,GILFORD,4997,301,2065.2391434860915,0.6774891774891775,150,False,301,8.6,0.20012007204322568,11.999999999999982,-0.019843839076555167,35,2023-01,2025-11,9,9,0.0,2065.2391434860915,364,2497.49849909946,59.2,Watch
