WardCode,WARDNAME,Population,NumberOfCrimes,CrimeRatePer100kPeople,RatePercentile,RateRank,HighCrimeRate,TotalCrimes,AvgMonthly,TrendChange,TrendPct,TrendSlope,Months,FirstMonth,LastMonth
N08000101,ABBEY,2922.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000102,ALDERGROVE,4775.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000103,ANTRIM CENTRE,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000104,BALLYCLARE EAST,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000105,BALLYCLARE WEST,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000106,BALLYDUFF,2769.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000107,BALLYHENRY,2730.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000108,BALLYNURE,3412.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000109,BALLYROBERT,4609.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000110,BURNTHILL,2422.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000111,CARNMONEY,2668.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000112,CARNMONEY HILL,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000114,COLLINBRIDGE,3102.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000115,CRANFIELD,2728.0,1.0,36.65689,0.9632034632034632,18,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000116,CRUMLIN,4468.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000117,DOAGH,3745.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000118,FAIRVIEW,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000119,FOUNTAIN HILL,2353.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000120,GLEBE,1889.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000121,GLENGORMLEY,2807.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000122,GREYSTONE,1870.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000124,JORDANSTOWN,6118.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000125,MALLUSK,10010.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000126,MONKSTOWN,3574.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000127,MOSSLEY,2942.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000128,O'NEILL,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000129,PARKGATE,2758.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000130,RANDALSTOWN,3445.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000131,RATHCOOLE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000132,ROSTULLA,4691.0,2.0,42.634834,0.9783549783549783,11,True,2.0,2.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000133,SHILVODAN,2485.0,1.0,40.241447,0.9718614718614719,14,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000134,SPRINGFARM,4967.0,3.0,60.398632,0.987012987012987,7,True,3.0,3.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000135,STEEPLE,1822.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000136,STILES,2019.0,1.0,49.52947,0.9848484848484849,8,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000137,TEMPLEPATRICK,2612.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000138,TOOME,2757.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000139,VALLEY,2738.0,1.0,36.52301,0.961038961038961,19,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000140,WHITEHOUSE,2139.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000201,AGHAGALLON,5273.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000202,BALLYBAY,3086.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000203,BANBRIDGE EAST,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000204,BANBRIDGE NORTH,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000205,BANBRIDGE SOUTH,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000206,BANBRIDGE WEST,3211.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000207,BLACKWATERTOWN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000208,BLEARY,4409.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000209,BROWNLOW,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000210,CATHEDRAL,3222.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000211,CORCRAIN,3695.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000212,CRAIGAVON CENTRE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000213,DEMESNE,3145.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000214,DERRYTRASNA,5935.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000215,DONAGHCLONEY,4405.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000216,DROMORE,2343.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000217,GILFORD,2647.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000218,GRANSHA,3759.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000219,HAMILTONSBAWN,3682.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000220,KEADY,1972.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000221,KERNAN,8026.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000223,KNOCKNASHANE,3789.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000224,LOUGH ROAD,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000225,LOUGHBRICKLAND,3010.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000226,LOUGHGALL,3027.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000227,MAGHERALIN,6006.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000228,MAHON,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000229,MARKETHILL,3114.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000230,MOURNEVIEW,2495.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000231,NAVAN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000232,PARKLAKE,4621.0,1.0,21.640337,0.9199134199134199,38,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000233,QUILLY,2546.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000234,RATHFRILAND,2772.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000235,RICHHILL,2913.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000236,SEAGAHAN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000237,SHANKILL,4324.0,1.0,23.126734,0.9285714285714286,34,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000238,TANDRAGEE,3067.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000239,THE BIRCHES,4163.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000240,THE MALL,1975.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000241,WARINGSTOWN,4860.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000301,ANDERSONSTOWN,4544.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000302,ARDOYNE,5900.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000303,BALLYGOMARTIN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000304,BALLYMACARRETT,5047.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000305,BALLYMURPHY,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
